   "Can. dollar"    "Ger. mark"    "Fr. franc"     "UK pound"       "J. yen"
           .9822         2.5388        4.67225         .54609          299.2
           .9806          2.532          4.678        .545703            289
           .9792         2.5508          4.684        .543685         298.45
           .9796         2.5734         4.7235        .553342         299.25
            .981         2.5856        4.72575        .560601          299.6
           .9766         2.5923          4.738        .581734          300.9
           .9782         2.5627        4.73125        .565419         299.95
           .9742         2.5691          4.729        .560601          299.8
           .9682         2.5732        4.74275        .563698          298.9
           .9686         2.5742        4.74025        .561388          297.4
            .969         2.5795        4.75125        .553986          296.2
           .9716          2.575        4.79625        .560538            293
           .9734         2.5767          4.907        .560915          293.7
           .9744         2.5739         4.8905        .560507          293.6
           .9832         2.5406        4.91925        .558005          292.9
           .9874         2.5382        4.98563        .559003         292.75
           .9866          2.509        4.97525         .56013            288
           .9852         2.5223          4.985        .564748          288.5
           .9766          2.523        4.91975        .563285            289
           .9776          2.521        4.92875         .56494          287.8
            .975         2.4911        4.90425        .578302          286.3
           .9746         2.4685         4.8815        .583294          288.6
           .9722          2.463         4.9195         .60042          287.5
           .9744         2.4383        4.92725         .60931          287.5
           .9728         2.4302        5.02025        .605217          289.3
           .9724         2.4212         4.9645        .607238          292.3
           .9714         2.4062        5.00375        .626174          293.6
            .973         2.4016          4.981        .627628          295.2
           .9762         2.4192        4.98125        .610836          294.5
           .9796         2.4205        4.98525         .60573          295.2
            .992         2.4017         4.9865        .605327          295.2
          1.0344         2.4138        5.00075        .600962          296.8
          1.0238         2.3989        4.99825         .59891         296.55
           1.016         2.3953        4.98825        .594707          295.6
          1.0148         2.3686          4.987        .594318          293.9
          1.0132         2.3621          4.959        .588062            292
          1.0017         2.3475         4.9305        .584112            292
          1.0046         2.3741        4.97175        .586235          292.3
          1.0115         2.4088        4.98588        .581971          289.9
          1.0164         2.4322        4.98075        .581546          288.5
           1.023         2.4215        4.98225        .582581          288.1
          1.0222         2.4078        4.97075        .582615            287
          1.0263            2.4         4.9715         .58596          284.7
          1.0326         2.3982        4.98675        .585138          283.3
          1.0429         2.3921         4.9755        .583942          282.4
          1.0483          2.389          4.985        .581869          282.1
          1.0519         2.3958          4.987        .581598          281.9
          1.0525         2.3882          4.977        .582377          278.8
          1.0544         2.3916        4.96875        .581159          276.8
          1.0545         2.3876        4.96625        .581632          273.1
          1.0515         2.3679        4.96825        .581598          271.9
          1.0469         2.3724        4.95875        .581564            277
          1.0482         2.3686          4.961        .581497          278.4
          1.0466         2.3533          4.949        .581497          278.4
          1.0482         2.3708           4.96          .5817          277.5
          1.0472         2.3545        4.95325        .581869          277.5
          1.0502         2.3559        4.94875        .582004         277.75
          1.0537         2.3608          4.942        .581734          277.3
          1.0539         2.3583          4.944        .581835          275.3
          1.0557         2.3564        4.94275          .5817          273.3
          1.0595         2.3563         4.9405        .581598          271.6
          1.0622           2.34        4.92275        .581058          268.7
           1.059         2.3169        4.87575        .581125          263.5
          1.0597         2.2793        4.85975         .58126          264.3
          1.0608         2.2593          4.816         .58126         264.35
          1.0661         2.2544          4.815        .581193          264.8
          1.0744          2.285         4.8425        .574878          266.3
          1.0783          2.319        4.89575        .575142         265.85
          1.0752         2.3259        4.91575        .574284          267.4
          1.0718         2.3121        4.88875        .574284          266.8
          1.0747         2.3219         4.9055        .573756          267.3
           1.074         2.3183          4.907        .573855          267.4
          1.0729         2.3321          4.943        .573296          267.2
          1.0717         2.3207         4.9265        .574053         266.95
          1.0732         2.3288          4.923        .573329          266.9
          1.0817          2.304         4.8965        .569055            261
           1.091         2.3001         4.8795        .567956          257.5
          1.1037         2.2635          4.842        .563285          252.4
          1.1121         2.2624         4.8485        .562303          251.6
          1.1058           2.24          4.819        .543863            247
          1.1133         2.2531         4.8685        .549119          246.9
          1.1089          2.251           4.86        .550237         245.35
           1.111          2.228          4.846        .549692            240
          1.1074         2.2278         4.8585        .550964          245.7
          1.0989          2.172         4.8395        .547795          240.7
           1.097         2.1227          4.784        .540979          240.4
          1.0933         2.1247          4.756        .531067          240.7
          1.0932         2.0625         4.7175        .505306            237
          1.1006         2.1155          4.623        .518618         241.25
          1.1001         2.1351          4.709        .521023          242.1
          1.1067          2.108          4.758        .512952          241.5
          1.1085         2.1116          4.703        .513057         241.55
            1.11          2.106        4.74675        .519696          241.6
          1.1135         2.0845          4.893        .515652          240.6
          1.1162         2.0423         4.8485        .514245          238.9
           1.117          1.992         4.8115         .51406            238
          1.1259          2.008         4.7075        .516102            235
          1.1232         2.0532         4.7755        .524301          233.7
          1.1262         2.0431          4.731        .526843          230.7
          1.1352          2.025        4.67625        .530279          222.6
          1.1405          2.025         4.6145        .535762          219.3
          1.1478         2.0122          4.585        .532085          218.4
          1.1478         2.0422         4.5435        .541888          221.9
          1.1343         2.0767          4.592        .550479          226.5
          1.1277         2.0787         4.6185        .547196         225.75
          1.1196         2.0919         4.6035        .550449          225.5
          1.1105          2.128         4.6355        .553097          228.3
          1.1148         2.1292         4.6865         .55145            229
           1.123         2.1108         4.6735        .548787          223.4
          1.1214         2.0906          4.607        .548607            221
           1.121          2.085        4.60975        .545613          216.9
          1.1241         2.0778          4.589        .541917          209.5
          1.1245         2.0714         4.5825        .539607          205.3
          1.1213         2.0528         4.5285         .53476          200.7
          1.1226         2.0573          4.448        .531689          202.7
          1.1242         2.0615         4.4715        .529886          201.8
          1.1239          2.052         4.4635        .519697          194.5
          1.1395         2.0459         4.4025        .519669          185.7
          1.1362         1.9732        4.37925        .513611          186.9
          1.1381         1.9484         4.3555           .505          183.8
           1.139         2.0175          4.236        .521458          192.5
          1.1505         1.9855         4.4155        .514456          189.7
          1.1545         1.9853          4.354         .51581          189.4
          1.1617         1.9942         4.3485        .513294          191.8
          1.1699         1.9582         4.3715        .504108            190
          1.1775         1.9385          4.366        .506278          189.2
          1.1853          1.896          4.365        .504159          186.9
          1.1854         1.8805         4.2735        .502159            187
          1.1822           1.83          4.281        .500775          182.3
          1.1829          1.782          4.212        .493949          180.2
          1.1658         1.7735         4.1495        .486263          178.5
          1.1728         1.8762         4.2755        .507357          188.5
          1.1782          1.892          4.273        .507949          189.3
          1.1727         1.9153         4.3405        .513795          194.9
          1.1735         1.9284         4.4205          .5134          196.9
          1.1729         1.9163          4.423        .512531          197.7
          1.1774         1.9096          4.407        .507666          196.2
          1.1832         1.8343          4.385        .497018          192.9
          1.1879         1.8283          4.202        .493097            195
          1.1917         1.8364          4.194        .495295          196.9
          1.1886         1.8529         4.2175        .498629          196.8
          1.1893          1.836          4.252        .497315          196.6
          1.1902         1.8466          4.219        .501077          198.1
          1.2007         1.8616          4.241        .501102          201.3
          1.1937         1.8469         4.2745        .497909            198
          1.1932         1.8565         4.2485          .4996          200.3
          1.1957         1.8565          4.276        .498206          201.7
          1.1936         1.8515         4.2825        .494218          202.2
          1.1859          1.856          4.269        .493267          204.4
          1.1724         1.8614         4.2845          .4901          208.3
          1.1677         1.8675          4.284        .491256          206.9
          1.1642         1.8624         4.2985        .486997            207
          1.1545         1.8827          4.289        .483746          216.7
          1.1468         1.8974          4.324        .476327          212.6
          1.1417          1.897         4.3545        .480423          217.6
          1.1414         1.8939         4.3623        .486618          218.5
          1.1421         1.8995          4.354        .484027          224.5
          1.1606          1.896         4.3688        .483905          216.4
          1.1567         1.9065         4.3745        .485673          214.7
          1.1565         1.9197         4.4058        .488329          219.8
          1.1612         1.9191         4.4393        .485861          222.5
          1.1743         1.9159         4.4415        .481186          220.7
          1.1723         1.9108         4.4313        .477213            220
          1.1746         1.8597         4.4265        .470367          218.7
          1.1641         1.8476          4.313        .463499            216
          1.1631         1.8367          4.285        .448732          217.4
          1.1604         1.8265         4.2705        .447267         210.95
          1.1643         1.8031         4.2545        .436967            216
          1.1661         1.8145          4.199        .431816          214.5
          1.1724         1.8287          4.229        .444781          216.9
          1.1708         1.8325         4.2565        .451467          216.5
           1.173         1.8298          4.252        .446608         216.75
          1.1674          1.831         4.2663        .450938         217.75
          1.1719         1.8316         4.2613        .444741          221.5
          1.1694         1.8208         4.2688        .445831          221.7
           1.162         1.8116          4.246        .449458          222.2
          1.1651         1.8066         4.2295        .466962          223.8
           1.167         1.7688         4.2235        .460851          222.5
          1.1631         1.7495          4.153        .457457          225.2
          1.1734         1.7865         4.1185        .461148            226
          1.1765         1.7954         4.1925        .465419          232.9
          1.1837         1.8035         4.2115        .474383          234.7
          1.1846         1.8066         4.2235        .481672          237.7
          1.1848         1.7869         4.2143        .478698          239.8
          1.1827         1.7823          4.196        .474947            246
          1.1737         1.7565         4.1805        .459559            247
          1.1731         1.7435         4.1208        .461681          249.7
          1.1663         1.7375         4.1025        .458253          247.5
          1.1616         1.7295         4.0905        .453823            237
          1.1764         1.7324          4.062        .454112          239.8
          1.1755         1.7239          4.053        .449539          238.5
          1.1659         1.7145         4.0475        .449135          237.5
          1.1686         1.7127         4.0135        .442478            236
          1.1641         1.7306          4.011        .438789          238.7
          1.1604         1.7303         4.0555         .43956          239.4
          1.1616          1.734          4.055        .442008          239.3
          1.1598         1.7414         4.0595        .435104         240.25
          1.1613         1.7374          4.078        .433539          241.8
          1.1551          1.746          4.067         .43929            246
          1.1454         1.7649         4.0915        .437311            248
           1.147         1.7897         4.1428        .447127          247.6
           1.167         1.8017         4.1975        .447367          247.4
           1.176          1.876          4.224        .459996            249
           1.188         1.8902          4.367        .454215         248.95
          1.1904         1.9664         4.3873        .466114            258
          1.1816          1.896          4.526        .460087          257.8
          1.1873         1.8908          4.379         .45498          252.5
          1.1802          1.842         4.3755        .443656          248.7
          1.1878         1.8015         4.2893        .441306            239
          1.1847          1.785         4.2035        .437158          230.8
          1.1748         1.7914         4.1778         .43735          228.3
          1.1591         1.7926          4.205        .433107          226.3
          1.1624         1.7717         4.1728        .423191          222.7
          1.1585         1.7757          4.134        .430942          221.9
          1.1468         1.7635          4.156        .428137            217
          1.1495         1.7636         4.1103        .429129          215.9
          1.1527         1.7692         4.1075        .428596          216.8
          1.1468         1.7615          4.105        .423639          219.4
          1.1454         1.7362          4.083        .421248          219.3
          1.1515         1.7476          4.032         .42187          219.4
          1.1538         1.7396         4.0575        .419041          223.2
          1.1668         1.7621          4.036        .421834          225.8
          1.1562         1.7708         4.0875        .422279          225.9
          1.1594         1.7754          4.099        .420504            223
          1.1609         1.7892         4.1165        .422744          224.3
          1.1588         1.8011         4.1638        .418866          218.7
          1.1581         1.7804          4.182        .413822          216.3
          1.1618         1.7804         4.1395        .416667         216.85
          1.1708         1.7812         4.1395        .418253          211.1
          1.1656         1.8006         4.1425        .416025          215.5
          1.1707         1.8055           4.18        .418848          209.5
          1.1681         1.8033         4.1835        .417955          207.8
           1.165         1.8333         4.1825        .415438          207.1
          1.1677         1.8691         4.2345        .410576          208.5
          1.1742         1.8942         4.3125        .409618            211
          1.1842         1.9442         4.3575        .409584          211.9
          1.1889         1.9052          4.475        .418235          212.3
           1.185          1.905          4.421        .418148            213
          1.1879         1.9178         4.4248        .421408          214.2
          1.1943         1.9445          4.452        .427095          214.6
          1.1997         1.9993         4.5055        .427991          208.6
          1.2075         2.0015         4.6195        .431034          208.7
          1.1914          1.958          4.654        .421941          207.8
          1.1879         1.9401          4.518        .413138          199.7
          1.1908         1.9925         4.4915        .417711          203.2
          1.1892         1.9885         4.6115        .412201          199.9
          1.1944         2.0845          4.606        .415662          203.1
          1.1952         2.1318         4.8065         .42526          204.5
          1.1965         2.1493          4.901        .428266          204.5
          1.2033         2.1645          4.957        .440044            206
          1.1975         2.1018         5.0115        .448129         207.15
          1.2026         2.1222         4.9325        .451467          208.9
          1.1993         2.1117         4.9995        .449741          207.6
          1.1818         2.0647           4.99        .440432          206.5
          1.1833          2.088           4.87        .441696          209.1
          1.1831         2.0966         4.9215         .44611          212.1
          1.1848         2.1233         4.9495        .453576          212.9
          1.1972         2.1736         5.0105        .461894          216.2
          1.1933         2.1749         5.1295        .460448         217.95
          1.1971         2.2043         5.1455        .466744            215
          1.1989         2.2577         5.2265        .472144          217.2
          1.2011          2.286          5.335        .477897          219.2
          1.2015          2.288         5.5125        .478469          222.3
          1.2022          2.344         5.5065        .484543          224.3
           1.207         2.3615          5.543        .495909          223.4
          1.2024           2.37          5.599        .508776          227.5
          1.2051         2.3863          5.643        .499875         220.75
          1.1994         2.3685          5.562        .503474            223
          1.2025         2.4074          5.695        .523697          227.6
          1.2058         2.4645         5.7455        .528961          229.1
          1.2038         2.4275          5.825         .53234            231
          1.2127          2.447           5.77        .539229          234.7
          1.2269         2.4445         5.8225        .540979          237.7
          1.2422          2.506          5.804          .5527            240
          1.2291         2.5435         5.9815        .559128            234
          1.2117           2.49          6.075        .544514          230.3
          1.2142         2.4875         5.9575        .545108          230.3
          1.1958          2.437         5.9625        .543036          230.3
          1.2089           2.43          5.835        .559816            233
          1.2022         2.3254          5.822        .541712          228.7
          1.1982         2.2822          5.587        .546448          228.4
          1.2068         2.3225          5.439        .555401          232.7
          1.1988         2.2165          5.567        .536913          230.2
          1.2011         2.2275         5.5585        .539374          229.3
          1.2054         2.2545         5.5905        .547495          232.8
          1.2074          2.299         5.6555        .550206            235
          1.1968          2.207         5.7685        .531943          228.7
          1.1898         2.2138          5.555        .532481          229.4
          1.1795         2.2255          5.583        .528123          224.2
          1.1798         2.2277         5.6715        .519669          215.1
          1.1774          2.228           5.62        .513215          215.5
          1.1832         2.2449          5.634        .520156          218.2
          1.1921           2.27          5.669        .527704          217.9
          1.1816         2.2775          5.756        .527537          220.1
          1.1857         2.2479          5.767        .519805         218.45
          1.1903         2.2809          5.707        .532481          223.2
          1.1945          2.304          5.793         .53042          225.5
           1.197          2.309          5.869        .533134          228.5
          1.2072          2.344          5.868        .534616          233.1
          1.2143         2.3665          5.965        .540249            236
          1.2183          2.387         6.0075        .543981          239.3
          1.2201         2.3608         6.0635        .546568          234.4
          1.2246         2.3684         6.0195        .549209            236
          1.2128         2.3623         6.0535         .55209          238.2
          1.2153         2.3754         6.0515        .553189          242.2
          1.2238         2.3815          6.133        .553189          243.1
          1.2303         2.4142         6.2295        .561262          246.5
          1.2324         2.4082          6.242        .568343          247.5
           1.224         2.4162          6.267         .56638         246.75
          1.2224         2.3925         6.2815        .564462          243.6
          1.2258          2.354          6.245        .561451         236.85
           1.223         2.3248         6.1465        .554816          233.4
          1.2394         2.2765         6.0625        .542446            232
          1.2367         2.3159          5.951        .555555          237.4
          1.2367         2.3133         6.0015        .555247          239.7
          1.2454          2.386          6.007        .560758          244.4
          1.2642         2.4152          6.214        .564016          247.8
          1.2828         2.4305          6.301        .569314          251.4
          1.2989          2.486          6.739         .57971          255.8
           1.293         2.4598         6.8955        .575275            254
          1.2965         2.5145          6.829        .584795          259.8
	  1.2713	 2.4955 	6.9695	       .57971	       257.4
          1.2535         2.4407         6.9415        .573625          253.8
          1.2609         2.4397          6.793        .571951         252.75
          1.2533         2.4773         6.7975        .577167          258.1
          1.2535         2.5252         6.8835        .589692            264
          1.2403         2.4745          7.024         .57867          261.9
          1.2337         2.4218         6.8925        .566219          252.4
          1.2373         2.4975          6.815        .582751          260.1
          1.2365         2.4881         7.0115        .580383         257.45
          1.2357         2.4998          7.033        .583363          264.5
          1.2282         2.4952           7.06         .58292          264.5
          1.2336         2.5272           7.05        .588963            268
          1.2384         2.5464           7.13        .591891          274.8
          1.2285         2.5064         7.1945         .58326          266.3
           1.228         2.5265          7.088        .588651          268.8
          1.2277         2.5381         7.1245        .592487          274.3
           1.221         2.5533          7.162        .595061          277.4
          1.2206         2.5717          7.196        .600709          269.7
          1.2256         2.5652         7.2695        .625978         263.55
          1.2288         2.5355        7.24725        .627274          254.2
          1.2411         2.4584         7.1655        .612445          249.5
          1.2414         2.4351        6.95775         .61177          241.6
          1.2385         2.4453          6.905        .619003          245.3
          1.2376         2.3975         6.9335        .620617          241.5
          1.2393         2.3667         6.8025        .616333          233.7
          1.2294          2.349          6.707        .616219          228.7
          1.2229         2.3499          6.658        .633553          230.7
           1.225         2.4158          6.665        .637146          233.7
           1.237         2.4153         6.8465        .646872            236
          1.2382         2.4835          6.825        .658111          239.8
          1.2262         2.4247         7.0355        .647878            238
          1.2234         2.4085          6.872        .649773          233.9
          1.2296         2.4236          6.839        .659196          235.1
          1.2254          2.426         6.8845        .662032          238.1
          1.2274          2.409         6.8755        .664584          239.3
          1.2224         2.3867           6.85        .663174          237.7
          1.2274         2.4233          6.825        .684791         239.05
          1.2307         2.4234         7.2725        .686719          239.8
          1.2344          2.411         7.2695        .662032          237.6
          1.2343         2.4255         7.2315        .646831          238.2
          1.2344         2.4595          7.278        .642674          237.3
          1.2274         2.4527         7.3775        .638325          236.6
          1.2255         2.4448          7.357        .631672          236.7
          1.2258         2.4409          7.392        .637552          230.7
           1.231         2.4595           7.37         .64041         232.75
          1.2323         2.4877         7.4065        .633232          236.2
          1.2308         2.5411          7.471         .62751          239.5
          1.2356         2.5736          7.637        .635163          241.7
          1.2373         2.5746         7.7425        .660939         242.85
          1.2277         2.5228         7.7455        .654707         237.85
          1.2285         2.5398          7.593        .653467          238.8
          1.2309         2.5672         7.6255        .650872         240.35
          1.2325         2.5915         7.7135        .654279          240.6
          1.2324         2.5808         7.8115        .657073            240
          1.2331          2.623         7.7625        .654193          240.7
          1.2334         2.6613          7.886        .664761          242.4
          1.2369          2.712         8.0035        .672766          245.4
          1.2329         2.6473          8.169        .662032         244.05
          1.2295         2.6423          7.965        .656814          243.4
          1.2337         2.7068          7.956        .669658          246.6
          1.2317         2.6936         8.1495        .669075          246.4
          1.2336         2.6833         8.1165        .670107         244.45
          1.2323          2.666         8.1035        .664011          242.4
          1.2332         2.6382          8.059        .667245          237.2
          1.2311         2.5965          8.011        .672766          231.5
          1.2328         2.6118         7.9335        .667067          233.6
          1.2312         2.5899          7.989         .66778          232.8
          1.2326         2.6131          7.923        .667869         232.45
          1.2329          2.651           7.97        .673673          234.4
          1.2356         2.6747           8.07        .674309          236.8
          1.2367         2.6925          8.137        .672766         234.55
           1.238          2.691          8.137        .679995          235.3
          1.2392          2.697          8.196        .682734            234
          1.2446         2.7347          8.202        .691133          233.8
          1.2506         2.7685          8.305        .706414            236
           1.249         2.7705          8.475        .704077         234.95
          1.2459         2.7538         8.4725         .69735          233.7
          1.2488         2.7865          8.416        .705816          233.5
          1.2522         2.8258         8.5295        .713572          234.1
          1.2484          2.817           8.64        .710227          234.2
          1.2477         2.8253          8.614        .714184         234.25
          1.2473          2.802          8.641        .711136          234.7
          1.2464         2.7493          8.573        .705617          233.9
           1.245          2.695          8.449         .69667          233.6
          1.2478         2.6708          8.308        .690131          233.5
           1.252         2.6058          8.236        .671592          233.5
          1.2602         2.5391          8.025        .674309          221.7
          1.2742         2.5484          7.831        .677277          223.3
          1.2769         2.6568         7.8545        .700133          226.3
          1.2794         2.6035         8.1805        .692185          224.5
          1.2795           2.62         8.0065        .699692          225.2
          1.2777          2.619          8.064        .697058         225.25
          1.2805         2.6434          8.052        .703928         224.45
          1.2792         2.6836          8.135        .709019          225.6
          1.2915         2.7296          8.248        .715308          227.1
          1.2949         2.7769        8.38175         .72338          229.1
          1.2943         2.7362         8.5315        .716332          231.1
          1.2951         2.7388         8.4055        .720825         232.75
          1.2942         2.7333         8.4425        .722804          231.9
          1.2993         2.6847          8.316        .716178          230.2
          1.3008         2.7168         8.2575        .721501          232.3
          1.3008         2.7573         8.3575        .727537          232.9
          1.3154         2.7805         8.4715        .737844         236.75
          1.3232         2.8107          8.533        .747496          239.5
          1.3334         2.8447          8.627        .765404          242.6
          1.3314         2.8515         8.7325        .759474         243.35
          1.3134         2.8671         8.7565        .754945            246
          1.3085         2.9168          8.801        .768699          246.3
          1.3037         2.9179         8.9445        .765873          245.3
          1.3042         2.8787         8.9485        .756888         241.15
          1.3004         2.8889         8.7805        .762369          242.3
          1.2987         2.8815          8.864        .763359         241.45
          1.3044         2.9453          8.845        .778877         244.15
          1.3139         2.9923         9.0485        .781739          244.7
          1.3171          3.085          9.185        .806582         245.65
          1.3176         3.0895          9.472        .815461            246
          1.3117         3.0195         9.4795        .800641          245.2
          1.3168         3.0976          9.256        .816327          247.7
          1.3269           3.11         9.4935        .830703         249.45
          1.3153         3.0274           9.52        .830358          244.1
          1.3147         3.0296          9.276        .821423         245.25
          1.3108         2.9125          9.066        .785176          242.5
           1.316          2.949          8.959        .782271         241.55
          1.3177         2.9895          9.062        .812678          244.7
          1.3235         3.0768           9.25         .83605         245.55
          1.3216         3.0643          9.441        .824402          246.2
          1.3206         3.0895         9.3875        .835422            247
          1.3194           3.09          9.472        .848176          246.8
          1.3207         3.1375          9.464         .85492            249
          1.3225         3.1727           9.58         .87382          252.5
          1.3202         3.1672           9.72        .876271         254.85
          1.3244         3.1833         9.6975        .892061          254.9
          1.3257         3.1739          9.746        .894134         254.25
          1.3272          3.167         9.7105         .88968         254.35
          1.3348          3.223          9.681        .899119          259.7
          1.3403         3.2894          9.845        .918527          263.4
          1.3515         3.3232        10.0555        .915164         261.05
            1.38          3.315        10.1625        .917431          260.2
          1.4002         3.4235         10.175        .944465          261.3
          1.3881          3.354        10.4805        .921065          260.1
          1.3754          3.262          10.25        .870322          257.2
          1.3645         3.1623           9.99        .826105          255.1
           1.372         3.1078          9.655        .815993         253.05
           1.374         3.1418          9.506        .826651          254.7
          1.3563          3.022          9.592        .780031          248.9
          1.3686         3.1275          9.211         .81103          250.1
          1.3686          3.156           9.56        .813935         252.35
          1.3854         3.1878          9.623        .826173          252.7
          1.3732         3.0835         9.5325        .793651         250.15
          1.3695          3.072          9.415        .787774          250.4
          1.3816          3.109          9.375        .796622         251.65
          1.3705         3.0671          9.475        .789889          249.6
          1.3689          3.082          9.346        .791077          249.7
          1.3646         3.0048          9.388        .762021          246.8
          1.3625         3.0617          9.165         .77694          249.1
          1.3568         3.0423           9.33        .766636         248.15
          1.3524         2.9345         9.2625        .718907         244.35
          1.3475         2.8518          8.943        .707414         237.65
          1.3528         2.8734          8.631        .711491          238.7
          1.3542         2.7884          8.723        .699937         236.65
          1.3618         2.8612         8.4995        .749906         238.95
          1.3568          2.793         8.7105        .722961          237.5
          1.3544         2.7813          8.456        .719787         237.35
          1.3599         2.7683         8.4995        .712606         237.15
          1.3684         2.8441         8.4535         .72722          239.7
          1.3726         2.9388         8.6775         .75815          242.9
          1.3785         2.9095         8.9635        .750469          241.7
          1.3597          2.716          8.854        .701262          229.5
          1.3645          2.641         8.2905        .704722         213.15
          1.3651         2.6418          8.054        .705069          217.5
          1.3711         2.6813          8.048        .708316         216.15
          1.3641         2.6372          8.173        .697204         215.65
          1.3658         2.6166         8.0325        .692857          211.7
          1.3763         2.6048          7.974        .696427          206.5
          1.3797         2.6107          7.929        .703532          204.7
          1.3777         2.5888          7.952        .695652          202.9
           1.378         2.5495          7.911        .680782          200.9
          1.3888         2.5224           7.77        .673491         204.25
           1.392         2.5466          7.682        .698959          203.7
          1.3957         2.5103          7.777        .701016          201.6
           1.401          2.443          7.712        .688231          202.3
           1.401         2.4424          7.505        .691898         201.55
          1.4074          2.469          7.488        .695217         202.35
          1.4045          2.462         7.5717        .710581          202.4
          1.4151          2.383          7.557        .714898            194
          1.4274         2.4061           7.33        .720202         192.15
          1.3988         2.3605         7.3735        .705219          186.7
           1.392         2.3105         7.2405        .691419          178.7
          1.3943         2.2438          7.092        .672314            182
           1.411          2.221         6.9025        .681756          179.3
          1.3975         2.2667          6.824        .675904          179.7
          1.3887         2.2609          6.979        .677048          176.8
          1.4023         2.3506         6.9585        .683995         180.05
          1.3923         2.3785          7.228        .680504         178.45
          1.3823         2.3264          7.273        .684697         179.35
            1.39         2.2662         7.4155        .667958         178.15
          1.3936         2.1819         7.2175        .655738         167.95
           1.374         2.1865         6.9545        .647124          168.3
          1.3794         2.2057          6.967        .651042          165.4
